Kanji;Level;Grade;Strokes;UpperReading;LowerReading;MeaningEng;MeaningRus;;
彌;0;7;0;;;;;;
彗;0;7;0;;;;;;
彙;0;9;0;;;;;;
彦;0;7;0;;;;;;
彩;0;8;0;サイ, いろどる;;;;;
彪;0;7;0;;;;;;
彫;0;8;0;チョウ, ほる;;;;;
彬;0;7;0;;;;;;
彰;0;8;0;ショウ;;;;;
影;0;8;0;エイ, かげ;;;;;
役;3;3;0;ヤク, エキ;;duty, service, role;;;
往;0;5;0;オウ;;;;;
征;0;8;0;セイ;;;;;
径;0;4;0;ケイ;;;;;
律;4;6;0;リツ, リチ;;"rhythm; law; regulation; control";;;
徐;0;8;0;ジョ;;;;;
徒;4;4;0;ト;いたずら, あだ;on foot, junior, vanity, futility, uselessness;;;
従;0;6;0;ショウ, ジュ, ジュウ, したがう, したがえる;;;;;
從;0;7;0;;;;;;
徠;0;7;0;;;;;;
御;4;8;0;ギョ, ゴ;おん, お;honorable;;;
復;4;5;0;フク;また;restore, return to, revert;;;
循;0;8;0;ジュン;;;;;
微;0;8;0;ビ;;;;;
徳;0;5;0;トク;;;;;
徴;0;8;0;チョウ;;;;;
徹;0;8;0;テツ;;;;;
徽;0;7;0;;;;;;
忌;0;8;0;キ, いまわしい, いむ;;;;;
忍;0;8;0;ニン, しのばせる, しのぶ;;;;;
志;4;5;0;シ, こころざし, こころざす;;;;;
応;3;5;0;オウ;;;;;
忠;0;6;0;チュウ;;;;;
快;4;5;0;カイ;こころよ(い);"cheerful; pleasant; agreeable; comfortable";;;
忽;0;10;0;;;;;;
怒;4;8;0;ド;いか(る), おこ(る);angry, be offended;;;
怖;4;8;0;フ;こわ(い), お(じる);dreadful, fearful;;;
怜;0;7;0;;;;;;
怠;0;8;0;タイ, おこたる, なまける;;;;;
怨;0;10;0;;;;;;
怪;0;8;0;カイ, あやしい, あやしむ;;;;;
恆;0;7;0;;;;;;
恋;4;8;0;レン;こい(しい);"romance; in love; yearn for; miss";;;
恐;4;8;0;キョウ;おそ(れる), こわ(い);fear, dread;;;
恒;0;8;0;コウ;;;;;
恕;0;7;0;;;;;;
恢;0;7;0;;;;;;
恣;0;9;0;;;;;;
恥;4;8;0;チ;はじ, は(ずかしい);shame, dishonor;;;
恨;0;8;0;コン, うらむ, うらめしい;;;;;
恩;0;5;0;オン;;;;;
恭;0;8;0;キョウ, うやうやしい;;;;;
息;4;3;0;ムス, ソク;いき;breath, son, interest (on money);;;
恰;0;10;0;;;;;;
恵;4;8;0;エ, ケイ, めぐむ;;;;;
悉;0;10;0;;;;;;
悌;0;7;0;;;;;;
悔;0;8;0;カイ, くいる, くやしい, くやむ;;;;;
悟;0;8;0;ゴ, さとる;;;;;
悠;0;8;0;ユウ;;;;;
患;4;8;0;カン;わずら(う);"afflicted; disease; suffer from; be ill";;;
悦;0;8;0;エツ;;;;;
悩;4;8;0;ノウ;なや(む);"trouble; worry; in pain; distress; illness";;;
悼;0;8;0;トウ, いたむ;;;;;
惇;0;7;0;;;;;;
惑;0;8;0;ワク, まどう;;;;;
惚;0;10;0;;;;;;
惜;0;8;0;セキ, おしい, おしむ;;;;;
惟;0;7;0;;;;;;
惠;0;7;0;;;;;;
惡;0;7;0;;;;;;
惣;0;10;0;;;;;;
惧;0;9;0;;;;;;
惨;0;8;0;サン, ザン, みじめ;;;;;
惰;0;8;0;ダ;;;;;
想;3;3;0;ソウ, ソ;おも(う);concept, think, idea;;;
惹;0;10;0;;;;;;
惺;0;7;0;;;;;;
愁;0;8;0;シュウ, うれい, うれえる;;;;;
愉;0;8;0;ユ;;;;;
愚;0;8;0;グ, おろか;;;;;
愛;3;4;0;アイ;いと(しい), まな;love, affection;;;
愼;0;7;0;;;;;;
慄;0;9;0;;;;;;
慈;0;8;0;ジ, いつくしむ;;;;;
態;4;5;0;タイ;;;;;
慌;0;8;0;コウ, あわただしい, あわてる;;;;;
慎;0;8;0;シン, つつしむ;;;;;
慕;0;8;0;ボ, したう;;;;;
慢;0;8;0;マン;;;;;
慣;4;5;0;カン;な(れる);accustomed, get used to;;;
慧;0;7;0;;;;;;
慨;0;8;0;ガイ;;;;;
慮;0;8;0;リョ;;;;;
慰;0;8;0;イ, なぐさむ, なぐさめる;;;;;
慶;0;8;0;ケイ;;;;;
憂;0;8;0;ユウ, うい, うれい, うれえる;;;;;
憎;4;8;0;ゾウ;にく(む);"hate; detest";;;
憐;0;7;0;;;;;;
憚;0;9;0;;;;;;
憤;0;8;0;フン, いきどおる;;;;;
憧;0;10;0;;;;;;
憩;0;8;0;ケイ, いこい, いこう;;;;;
憬;0;9;0;;;;;;
憲;0;6;0;ケン;;;;;
憶;0;8;0;オク;;;;;
憾;0;8;0;カン;;;;;
懇;0;8;0;コン, ねんごろ;;;;;
應;0;7;0;;;;;;
懐;0;8;0;カイ, なつかしい, なつかしむ, なつく, なつける, ふところ;;;;;
懲;0;8;0;チョウ, こらしめる, こらす, こりる;;;;;
懷;0;7;0;;;;;;
懸;0;8;0;ケ, ケン, かかる, かける;;;;;
戊;0;7;0;;;;;;
我;0;6;0;ガ, わ, われ;;;;;
戒;0;8;0;カイ, いましめる;;;;;
或;0;10;0;;;;;;
戚;0;10;0;;;;;;
戟;0;7;0;;;;;;
戦;3;4;0;セン;いくさ, たたか(う);war, battle, match;;;
戯;0;8;0;ギ, たわむれる;;;;;
戰;0;7;0;;;;;;
戲;0;7;0;;;;;;
戴;0;10;0;;;;;;
戸;3;2;0;コ;と;"door; counter for houses";;;
戻;4;8;0;レイ;もど(る);re-, return, revert;;;
房;0;8;0;ボウ, ふさ;;;;;
扇;0;8;0;セン, おうぎ;;;;;
扉;4;8;0;ヒ, とびら;;;;;
才;3;2;0;サイ;;genius, years old;;;
托;0;7;0;;;;;;
扱;0;8;0;-;あつかう;;;;
扶;0;8;0;フ;;;;;
批;4;6;0;ヒ;;;;;
承;4;5;0;ショウ;うけたまわ(る);"hear; listen to; be informed; receive";;;
技;3;5;0;ギ;わざ;"skill; art; craft; ability; vocation; arts";;;
抄;0;8;0;ショウ;;;;;
把;0;8;0;ハ;;;;;
抑;0;8;0;ヨク, おさえる;;;;;
抗;0;8;0;コウ;;;;;
抜;4;8;0;バツ;ぬ(く);slip out, extract, pull out, remove;;;
択;0;8;0;タク;;;;;
披;0;8;0;ヒ;;;;;
抱;4;8;0;ホウ;だ(く), いだ(く), かか(える);embrace, hug;;;
抵;0;8;0;テイ;;;;;
抹;0;8;0;マツ;;;;;
抽;0;8;0;チュウ;;;;;
拂;0;7;0;;;;;;
担;4;6;0;タン;かつ(ぐ), にな(う);"shouldering; carry; raise; bear";;;
拉;0;9;0;;;;;;
拍;0;8;0;ハク, ヒョウ;;;;;
拐;0;8;0;カイ;;;;;
拒;0;8;0;キョ, こばむ, キョ, ゴ;;;;;
拓;0;8;0;タク;;;;;
拔;0;7;0;;;;;;
拘;0;8;0;コウ;;;;;
拙;0;8;0;セツ;;;;;
招;4;5;0;ショウ;まね(く);invite, summon, engage;;;
拜;0;7;0;;;;;;
拝;4;6;0;ハイ;おが(む);"worship; adore; pray to";;;
拠;0;8;0;キョ, コ;;;;;
拡;4;6;0;カク;;;;;
括;0;8;0;カツ;;;;;
拭;0;10;0;;;;;;
拳;4;10;0;;;;;;
拶;0;10;0;;;;;;
拷;0;8;0;ゴウ;;;;;
拾;4;3;0;シュウ;ひろ(う);"pick up; gather; find";;;
按;0;7;0;;;;;;
挑;0;8;0;チョウ, いどむ;;;;;
挙;0;4;0;キョ, あがる, あげる;;;;;
挟;4;8;0;キョウ;はさ(む);"pinch; between";;;
挨;0;10;0;;;;;;
挫;0;9;0;;;;;;
振;0;8;0;シン, ふる, ふるう;;;;;
挺;0;10;0;;;;;;
挽;0;7;0;;;;;;
挿;0;8;0;ソウ, さす;;;;;
捉;0;9;0;;;;;;
捕;4;8;0;ホ;と(らえる), つか(まえる);catch, capture;;;
捗;0;9;0;;;;;;
捜;4;8;0;ソウ;さが(す);"search; look for; locate";;;
捧;0;7;0;;;;;;
捨;4;6;0;シャ;す(てる);"discard; throw away; abandon";;;
据;0;8;0;すえる, すわる;;;;;
捲;0;10;0;;;;;;
捷;0;7;0;;;;;;
捺;0;10;0;;;;;;
捻;0;9;0;;;;;;
掃;4;8;0;ソウ;は(く);"sweep; brush";;;
授;3;5;0;ジュ, さずかる, さずける;;;;;
掌;0;8;0;ショウ;;;;;
排;0;8;0;ハイ;;;;;
掘;4;8;0;クツ;ほ(る);"dig; delve; excavate";;;
掛;3;8;0;ケイ;か(ける);hang, suspend;;;
掠;0;7;0;;;;;;
採;4;5;0;サイ;と(る);"pick; take; fetch; take up";;;
探;4;6;0;タン;さぐ(る), さが(す);search, look for;;;
控;0;8;0;コウ, ひかえる;;;;;
推;0;6;0;スイ, おす;;;;;
措;0;8;0;ソ;;;;;
掬;0;7;0;;;;;;
掲;0;8;0;ケイ, かかげる;;;;;
掴;0;10;0;;;;;;
掻;0;10;0;;;;;;
揃;0;10;0;;;;;;
描;0;8;0;ビョウ, えがく;;;;;
提;4;5;0;テイ, さげる;;;;;
揚;0;8;0;ヨウ, あがる, あげる;;;;;
換;4;8;0;カン;か(える);"interchange; period; change; convert; replace; renew";;;
握;0;8;0;アク, にぎる;;;;;
揮;0;6;0;キ;;;;;
援;0;8;0;エン;;;;;
揺;0;8;0;ヨウ, ゆさぶる, ゆすぶる, ゆする, ゆらぐ, ゆる, ゆるぐ, ゆれる;;;;;
損;4;5;0;ソン;そこ(なう);"damage; loss; disadvantage; hurt; injure";;;
搖;0;7;0;;;;;;
搜;0;7;0;;;;;;
搬;0;8;0;ハン;;;;;
搭;0;8;0;トウ;;;;;
携;4;8;0;ケイ, たずさえる, たずさわる;;;;;
搾;0;8;0;サク, しぼる;;;;;
摂;0;8;0;セツ;;;;;
摑;0;7;0;;;;;;
摘;0;8;0;テキ, つむ;;;;;
摩;0;8;0;マ;;;;;
摯;0;9;0;;;;;;
摺;0;10;0;;;;;;
撃;0;8;0;ゲキ, うつ;;;;;
撒;0;10;0;;;;;;
撚;0;10;0;;;;;;
撞;0;7;0;;;;;;
撤;0;8;0;テツ;;;;;
撫;0;10;0;;;;;;
播;0;7;0;;;;;;
撮;0;8;0;サツ, とる;;;;;
撰;0;7;0;;;;;;
撲;0;8;0;ボク;;;;;
擁;0;8;0;ヨウ;;;;;
擊;0;7;0;;;;;;
操;4;6;0;ソウ, あやつる, みさお;;;;;
擢;0;7;0;;;;;;
擦;0;8;0;サツ, する, すれる;;;;;
擬;0;8;0;ギ;;;;;
攝;0;7;0;;;;;;
支;3;5;0;シ;ささ(える);branch, support, sustain;;;
收;0;7;0;;;;;;
改;3;4;0;カイ;あらた(める);reformation, change, modify;;;
攻;0;8;0;コウ, せめる;;;;;
敍;0;7;0;;;;;;
敏;0;8;0;ビン;;;;;
救;4;4;0;キュウ, すくう;;;;;
敗;3;4;0;ハイ;やぶ(れる);failure, defeat;;;
敢;0;8;0;カン;;;;;
散;4;4;0;サン;ち(る), ばら(ける);scatter, disperse;;;
敦;0;7;0;;;;;;
敬;4;6;0;ケイ;うやま(う);"awe; respect; honor; revere";;;
整;3;3;0;セイ, ととのう, ととのえる;;;;;
敵;0;5;0;テキ, かたき;;;;;
敷;0;8;0;フ, しく;;;;;
斉;0;8;0;セイ;;;;;
斎;0;8;0;サイ;;;;;
斐;0;10;0;;;;;;
斑;0;10;0;;;;;;
斗;0;8;0;ト;;;;;
斜;0;8;0;シャ, ななめ;;;;;
斡;0;7;0;;;;;;
斤;0;8;0;キン;;;;;
斥;0;8;0;セキ;;;;;
斧;0;7;0;;;;;;
斬;0;10;0;;;;;;
断;3;5;0;ダン;た(つ), ことわ(る);severance, decline, refuse, apologize;;;
斯;0;7;0;;;;;;
於;0;10;0;;;;;;
施;0;8;0;シ, セ, ほどこす;;;;;
旋;0;8;0;セン;;;;;
旗;0;4;0;キ, はた;;;;;
既;0;8;0;キ, すでに;;;;;
旦;0;10;0;;;;;;
旧;3;5;0;キュウ;ふる(い), もと;"old times; old things; former; ex-";;;
旨;0;8;0;シ, むね;;;;;
旬;0;8;0;ジュン;;;;;
旭;0;10;0;;;;;;
旺;0;9;0;;;;;;
昂;0;7;0;;;;;;
昆;0;8;0;コン;;;;;
昇;4;8;0;ショウ;のぼ(る);rise up;;;
昊;0;7;0;;;;;;
昌;0;10;0;;;;;;
昏;0;7;0;;;;;;
易;3;5;0;エキ, イ;やさ(しい), やす(い);easy, ready to, simple;;;
昔;3;3;0;セキ, シャク;むかし;once upon a time, old times;;;
星;3;2;0;セイ;ほし;star;;;
昧;0;9;0;;;;;;
昨;3;4;0;サク;;yesterday, previous;;;
昭;4;3;0;ショウ;;;;;
是;0;8;0;ゼ;;;;;
昴;0;7;0;;;;;;
晃;0;7;0;;;;;;
晄;0;7;0;;;;;;
晋;0;7;0;;;;;;
晏;0;7;0;;;;;;
晒;0;7;0;;;;;;
晝;0;7;0;;;;;;
晟;0;7;0;;;;;;
晦;0;7;0;;;;;;
晨;0;7;0;;;;;;
普;4;8;0;フ;あまね(く);"universal; generally";;;
景;3;4;0;ケイ, ケ;;scenery, view;;;
晶;0;8;0;ショウ;;;;;
智;0;7;0;;;;;;
暁;0;8;0;ギョウ, あかつき;;;;;
暇;0;8;0;カ, ひま;;;;;
暉;0;7;0;;;;;;
暢;0;10;0;;;;;;
暦;0;8;0;レキ, こよみ;;;;;
暫;0;8;0;ザン;;;;;
暮;4;6;0;ボ;く(らす);evening, livelihood;;;
暴;4;5;0;ボウ, バク;あば(く);"outburst; force; violence";;;
曇;4;8;0;ドン;くも(る);cloudy weather;;;
曉;0;7;0;;;;;;
曖;0;9;0;;;;;;
曙;0;10;0;;;;;;
曝;0;10;0;;;;;;
曳;0;7;0;;;;;;
更;4;8;0;コウ;さら(に), ふ(ける);renew, renovate, again;;;
曹;0;8;0;ソウ;;;;;
曽;0;7;0;;;;;;
曾;0;9;0;;;;;;
替;4;8;0;タイ;か(わる);exchange, spare, substitute;;;
朋;0;7;0;;;;;;
朔;0;7;0;;;;;;
朕;0;8;0;チン;;;;;
朗;0;6;0;ロウ, ほがらか;;;;;
望;3;4;0;ボウ;のぞ(む), もち;ambition, full moon, hope, desire, aspire to, expect;;;
未;3;4;0;ミ, ビ;いま(だ), ま(だ);un-, not yet;;;
末;3;4;0;マツ;すえ;end, close, tip;;;
札;4;4;0;サツ;ふだ;"ticket; paper money; banknote; note";;;
朱;0;8;0;シュ;;;;;
朴;0;8;0;ボク;;;;;
机;4;6;0;キ;つくえ;"desk; table";;;
朽;0;8;0;キュウ, くちる;;;;;
杉;0;8;0;-;すぎ;;;;
李;0;7;0;;;;;;
杏;0;10;0;;;;;;
材;3;4;0;ザイ;;lumber, log, timber, wood;;;
杖;0;10;0;;;;;;
杜;0;7;0;;;;;;
束;3;4;0;ソク;たば, つか;bundle, manage;;;
条;4;5;0;ジョウ;;;;;
杭;0;10;0;;;;;;
杯;4;8;0;ハイ;さかずき;glass, cup;;;
杵;0;7;0;;;;;;
杷;0;7;0;;;;;;
松;4;4;0;ショウ, まつ;;;;;
板;4;3;0;ハン, バン;いた;"plank; board; plate; stage";;;
枇;0;7;0;;;;;;
析;0;8;0;セキ;;;;;
枕;0;10;0;;;;;;
枚;4;6;0;マイ, バイ;;"sheet of...; counter for flat thin objects";;;
枝;4;5;0;シ;えだ;"bough; branch; twig; limb; counter for branches";;;
枠;0;8;0;-;わく;;;;
枢;0;8;0;スウ;;;;;
枯;4;8;0;コ;か(れる);"wither; die; dry up; be seasoned";;;
架;0;8;0;カ, かかる, かける;;;;;
柄;0;8;0;ヘイ, え, がら;;;;;
柊;0;7;0;;;;;;
柏;0;10;0;;;;;;
某;0;8;0;ボウ;;;;;
柑;0;7;0;;;;;;
染;0;6;0;セン, しみ, しみる, そまる, そめる;;;;;
柔;4;8;0;ジュウ, ニュウ;やわ(らかい);"tender; weakness; gentleness; softness";;;
柘;0;7;0;;;;;;
柚;0;7;0;;;;;;
柱;4;3;0;チュウ;はしら;"pillar; post; cylinder; support";;;
柳;0;8;0;リュウ, やなぎ;;;;;
柴;0;10;0;;;;;;
柵;0;9;0;;;;;;
査;3;5;0;サ;;investigate;;;
柾;0;7;0;;;;;;
柿;0;10;0;;;;;;
栃;0;9;0;;;;;;
栄;4;4;0;エイ;さか(える);"flourish; prosperity; honor";;;
栓;0;8;0;セン;;;;;
栖;0;7;0;;;;;;
栗;0;10;0;;;;;;
栞;0;7;0;;;;;;
株;4;6;0;-;かぶ;;;;
核;0;8;0;カク;;;;;
根;3;3;0;コン;ね;"root; radical";;;
栽;0;8;0;サイ;;;;;
桁;0;9;0;;;;;;
桂;0;10;0;;;;;;
桃;0;8;0;トウ, もも;;;;;
桐;0;10;0;;;;;;
桑;0;8;0;ソウ, くわ;;;;;
桔;0;7;0;;;;;;
桜;0;5;0;オウ, さくら;;;;;
桟;0;8;0;サン;;;;;
桧;0;7;0;;;;;;
桶;0;7;0;;;;;;
梁;0;7;0;;;;;;
梅;0;4;0;バイ, うめ;;;;;
梓;0;10;0;;;;;;
梗;0;9;0;;;;;;
梛;0;7;0;;;;;;
條;0;7;0;;;;;;
梢;0;10;0;;;;;;
梧;0;7;0;;;;;;
梨;0;9;0;;;;;;
梯;0;7;0;;;;;;
械;4;4;0;カイ;;"contraption; machine; instrument";;;
梶;0;7;0;;;;;;
棄;0;8;0;キ;;;;;
棋;0;8;0;キ;;;;;
棒;4;6;0;ボウ;;"rod; stick; cane; pole";;;
棚;0;8;0;-;たな;;;;
棟;0;8;0;トウ, むな, むね;;;;;
棲;0;10;0;;;;;;
棺;0;8;0;カン;;;;;
椀;0;7;0;;;;;;
椅;0;10;0;;;;;;
椋;0;7;0;;;;;;
植;3;3;0;ショク;う(える);plant;;;
椎;0;7;0;;;;;;
椛;0;7;0;;;;;;
検;3;5;0;ケン;;;;;
椰;0;7;0;;;;;;
椿;0;10;0;;;;;;
楊;0;7;0;;;;;;
楓;0;7;0;;;;;;
楕;0;10;0;;;;;;
楚;0;7;0;;;;;;
楠;0;10;0;;;;;;
楢;0;7;0;;;;;;
楯;0;7;0;;;;;;
極;3;4;0;キョク, ゴク;きわ(める);"poles; settlement; conclusion; end";;;
楼;0;8;0;ロウ;;;;;
概;0;8;0;ガイ;;;;;
榊;0;10;0;;;;;;
榎;0;7;0;;;;;;
榛;0;7;0;;;;;;
榮;0;7;0;;;;;;
槇;0;7;0;;;;;;
構;3;5;0;コウ;かま(う);posture, build, pretend;;;
槌;0;7;0;;;;;;
槍;0;10;0;;;;;;
槙;0;7;0;;;;;;
槻;0;7;0;;;;;;
槽;0;8;0;ソウ;;;;;
樂;0;7;0;;;;;;
樋;0;7;0;;;;;;
標;4;4;0;ヒョウ;;;;;
樟;0;7;0;;;;;;
模;0;6;0;ボ, モ;;;;;
樣;0;7;0;;;;;;
権;3;6;0;ケン;;authority, power, rights;;;
樫;0;7;0;;;;;;
樹;0;6;0;ジュ;;;;;
樺;0;10;0;;;;;;
樽;0;10;0;;;;;;
橘;0;10;0;;;;;;
橙;0;7;0;;;;;;
檀;0;7;0;;;;;;
檎;0;7;0;;;;;;
檜;0;7;0;;;;;;
檢;0;7;0;;;;;;
櫂;0;7;0;;;;;;
櫓;0;7;0;;;;;;
櫛;0;10;0;;;;;;
櫻;0;7;0;;;;;;
欄;0;8;0;ラン;;;;;
欣;0;7;0;;;;;;
欧;4;8;0;オウ;;Europe;;;
欲;4;6;0;ヨク;ほ(しい);longing, greed, passion;;;
欺;0;8;0;ギ, あざむく;;;;;
欽;0;7;0;;;;;;
款;0;8;0;カン;;;;;
歎;0;7;0;;;;;;
歓;0;8;0;カン;;;;;
此;0;10;0;;;;;;
武;4;5;0;ブ, ム;たけ(し);"warrior; military; chivalry; arms";;;
歳;3;8;0;サイ, セイ;;age, year-end;;;
死;2;3;0;シ;し(ぬ);death, die;;;
殆;0;10;0;;;;;;
殉;0;8;0;ジュン;;;;;
殊;0;8;0;シュ, こと;;;;;
殖;0;8;0;ショク, ふえる, ふやす;;;;;
殴;0;8;0;オウ, なぐる;;;;;
段;3;6;0;ダン;;grade, steps, stairs;;;
殺;3;4;0;サツ, サイ;ころ(す);kill, murder;;;
殻;0;8;0;カク, から;;;;;
殿;4;8;0;デン;との, どの;"Mr.; hall; mansion; palace; temple; lord";;;
毅;0;10;0;;;;;;
毒;4;4;0;ドク;;"poison; germ; harm";;;
毘;0;7;0;;;;;;
毛;4;2;0;モウ;け;"fur; hair; feather";;;
毬;0;7;0;;;;;;
氏;0;4;0;シ, うじ;;;;;
氣;0;7;0;;;;;;
氷;4;3;0;ヒョウ;こおり, ひ;"ice; hail; freeze";;;
永;4;5;0;エイ;なが(い);"eternity; long; lengthy";;;
氾;0;9;0;;;;;;
汀;0;7;0;;;;;;
汁;0;8;0;ジュウ, しる;;;;;
汎;0;10;0;;;;;;
汐;0;7;0;;;;;;
汗;4;8;0;カン;あせ;"sweat; perspire";;;
汚;4;8;0;オ;よご(す), きたな(い), けが(す);"dirty; pollute; disgrace; defile";;;
汝;0;7;0;;;;;;
江;0;8;0;コウ, え;;;;;
池;2;2;0;チ;いけ;"pond; pool; reservoir";;;
汰;0;10;0;;;;;;
汲;0;7;0;;;;;;
汽;0;2;0;キ;;;;;
沃;0;9;0;;;;;;
沈;4;8;0;チン, ジン;しず(む);"sink; be submerged; subside; be depressed";;;
沌;0;10;0;;;;;;
沓;0;7;0;;;;;;
沖;0;8;0;チュウ, おき;;;;;
沙;0;10;0;;;;;;
没;0;8;0;ボツ;;;;;
沢;0;8;0;タク, さわ;;;;;
沫;0;7;0;;;;;;
河;4;5;0;カ;かわ;river;;;
沸;4;8;0;フツ;わ(く);"seethe; boil; ferment";;;
沼;0;8;0;ショウ, ぬま;;;;;
沿;0;6;0;エン, そう;;;;;
況;4;8;0;キョウ;まし(て);"condition; situation";;;
泉;4;6;0;セン;いずみ;"spring; fountain";;;
泌;0;8;0;ヒ, ヒツ;;;;;
泡;0;8;0;ホウ, あわ;;;;;
波;3;3;0;ハ;なみ;"waves; billows";;;
泥;4;8;0;デイ;どろ;"mud; adhere to; be attached to";;;
泰;0;8;0;タイ;;;;;
洛;0;7;0;;;;;;
洞;0;8;0;ドウ, ほら;;;;;
津;0;8;0;シン, つ;;;;;
洪;0;8;0;コウ;;;;;
洲;0;7;0;;;;;;
洵;0;7;0;;;;;;
洸;0;7;0;;;;;;
派;4;6;0;ハ;;faction, group, party;;;
浄;0;8;0;ジョウ;;;;;
浅;4;4;0;セン;あさ(い);"shallow; superficial; frivolous";;;
浜;0;8;0;ヒン, はま;;;;;
浦;0;8;0;ホ, うら;;;;;
浩;0;7;0;;;;;;
浪;0;8;0;ロウ;;;;;
浬;0;7;0;;;;;;
浮;4;8;0;フ;う(かぶ);float, rise to surface;;;
浴;4;4;0;ヨク;あ(びる);"bathe; be favored with; bask in";;;
浸;0;8;0;シン, ひたす, ひたる;;;;;
涙;3;8;0;ルイ;なみだ;"tears; sympathy";;;
涯;0;8;0;ガイ;;;;;
液;4;5;0;エキ;;"fluid; liquid; juice; sap; secretion";;;
淀;0;7;0;;;;;;
淋;0;7;0;;;;;;
淑;0;8;0;シュク;;;;;
淡;0;8;0;タン, あわい;;;;;
淨;0;7;0;;;;;;
淫;0;9;0;;;;;;
淳;0;7;0;;;;;;
淵;0;10;0;;;;;;
混;3;5;0;コン;ま(じる);"mix; blend; confuse";;;
添;0;8;0;テン, そう, そえる;;;;;
清;3;4;0;セイ;きよ(い);"pure; purify; cleanse";;;
渇;0;8;0;カツ, かわく;;;;;
渉;0;8;0;ショウ;;;;;
渋;0;8;0;ジュウ, しぶ, しぶい, しぶる;;;;;
渓;0;8;0;ケイ;;;;;
渚;0;10;0;;;;;;
渥;0;7;0;;;;;;
渦;0;8;0;カ, うず;;;;;
測;4;5;0;ソク;はか(る);"fathom; plan; scheme; measure";;;
湊;0;7;0;;;;;;
湖;4;3;0;コ;みずうみ;lake;;;
湘;0;7;0;;;;;;
湛;0;7;0;;;;;;
湧;0;10;0;;;;;;
湯;3;3;0;トウ;ゆ;"hot water; bath; hot spring";;;
湾;4;8;0;ワン;いりえ;"gulf; bay; inlet";;;
湿;4;8;0;シツ;しめ(る);"damp; wet; moist";;;
満;3;4;0;マン;み(ちる);full, fullness, enough, satisfy;;;
源;0;6;0;ゲン, みなもと;;;;;
溜;0;10;0;;;;;;
溝;0;8;0;コウ, みぞ;;;;;
溢;0;7;0;;;;;;
溶;4;8;0;ヨウ;と(ける);"melt; dissolve; thaw";;;
溺;0;9;0;;;;;;
滅;0;8;0;メツ, ほろびる, ほろぼす;;;;;
滉;0;7;0;;;;;;
滋;0;8;0;ジ;;;;;
滑;0;8;0;カツ, すべる, なめらか;;;;;
滝;0;8;0;-;たき;;;;
滞;0;8;0;タイ, とどこおる;;;;;
滯;0;7;0;;;;;;
滴;4;8;0;テキ;しずく, したた(る);"drip; drop";;;
漁;4;4;0;ギョ, リョウ;あさ(る);"fishing; fishery";;;
漂;0;8;0;ヒョウ, ただよう;;;;;
漆;0;8;0;シツ, うるし;;;;;
漏;0;8;0;ロウ, もらす, もる, もれる;;;;;
演;3;5;0;エン;;performance, act, play, render, stage;;;
漕;0;7;0;;;;;;
漠;0;8;0;バク;;;;;
漢;2;3;0;カン;;China;;;
漣;0;7;0;;;;;;
漫;0;8;0;マン;;;;;
漬;0;8;0;つかる, つける;;;;;
漱;0;7;0;;;;;;
漸;0;8;0;ゼン;;;;;
潔;0;5;0;ケツ, いさぎよい;;;;;
潜;0;8;0;セン, ひそむ, もぐる;;;;;
潟;0;8;0;-;かた;;;;
潤;0;8;0;ジュン, うるおう, うるおす, うるむ;;;;;
潮;0;6;0;チョウ, しお;;;;;
潰;0;10;0;;;;;;
澁;0;7;0;;;;;;
澄;0;8;0;チョウ, すます, すむ;;;;;
澪;0;7;0;;;;;;
澱;0;10;0;;;;;;
激;0;6;0;ゲキ, はげしい;;;;;
濁;0;8;0;ダク, にごす, にごる;;;;;
濃;4;8;0;ノウ;こ(い);"concentrated; thick; dark; undiluted";;;
濕;0;7;0;;;;;;
濠;0;10;0;;;;;;
濡;0;10;0;;;;;;
濫;0;8;0;ラン;;;;;
濯;4;8;0;タク;すす(ぐ);"laundry; wash; rinse";;;
瀕;0;7;0;;;;;;
瀧;0;7;0;;;;;;
瀬;0;8;0;-;せ;;;;
灘;0;10;0;;;;;;
灯;4;4;0;トウ;ひ, とも(す);"lamp; a light; counter for lights";;;
灰;4;6;0;カイ;はい;"ashes; cremate";;;
灸;0;7;0;;;;;;
灼;0;7;0;;;;;;
災;0;5;0;サイ, わざわい;;;;;
炉;0;8;0;ロ;;;;;
炊;0;8;0;スイ, たく;;;;;
炎;0;8;0;エン, ほのお;;;;;
炒;0;10;0;;;;;;
炭;4;3;0;タン;すみ;"charcoal; coal";;;
為;0;8;0;イ;;;;;
烈;0;8;0;レツ;;;;;
烏;0;10;0;;;;;;
焚;0;7;0;;;;;;
焦;0;8;0;ショウ, あせる, こがす, こがれる, こげる;;;;;
焰;0;7;0;;;;;;
然;3;4;0;ゼン, ネン;しか, さ;sort of thing, if so;;;
煉;0;7;0;;;;;;
煌;0;7;0;;;;;;
煎;0;9;0;;;;;;
煙;4;8;0;エン;けむ(る), けむり;smoke;;;
煤;0;7;0;;;;;;
照;4;4;0;ショウ;て(る);"illuminate; shine; compare";;;
煩;0;8;0;ハン, ボン, わずらう, わずらわす;;;;;
煮;0;8;0;シャ, にえる, にやす, にる;;;;;
熊;0;10;0;;;;;;
熙;0;7;0;;;;;;
熟;0;6;0;ジュク, うれる;;;;;
燃;4;5;0;ネン;も(える);"burn; blaze; glow";;;
燈;0;7;0;;;;;;
燎;0;7;0;;;;;;
