Kanji;Level;Grade;Strokes;UpperReading;LowerReading;MeaningEng;MeaningRus;;
冷;3;4;7;レイ;ひ-える, つめ-たい, ひ-やす;cold (for things);;;
暖;4;6;13;ダン;あたた-かい;warm (for climate);;;
温;3;3;12;オン;あたた-まる, あたた-かい, あたた-める;warm (for things);;;
涼;4;8;11;リョウ;すず-しい;cool, refreshing;;;
天;1;1;4;テン;あめ, あま-;weather;;;
仕;2;3;5;シ;つか-える;serve;;;
事;2;3;8;ジ;こと;affair, fact, engagement;;;
者;2;3;8;シャ;もの;person;;;
運;2;3;12;ウン;はこ-ぶ;carry, fate;;;
転;2;3;11;テン;ころ-ぶ;roll, turn;;;
選;3;4;15;セン;えら-ぶ;select;;;
記;3;2;10;キ;-;record, describe;;;
議;3;4;20;ギ;-;discussion;;;
員;2;3;10;イン;-;member;;;
商;3;3;11;ショウ;-;commerce, merchandize;;;
業;2;3;13;ギョウ;-;job, business;;;
農;3;3;13;ノウ;-;farming, agriculture;;;
良;3;4;7;リョウ;よ-い;good;;;
悪;2;3;11;アク;わる-い;bad, ill;;;
点;3;2;9;テン;-;point, score;;;
正;2;1;5;セイ, ショウ;ただ-しい;correct, right;;;
違;3;8;13;イ;ちが-う;differ;;;
同;2;2;6;ドウ;おな-じ;same;;;
適;4;5;14;テキ;-;proper, fit;;;
当;3;2;6;トウ;あ-たる, あ-てる;hit, concerned;;;
難;3;6;18;ナン;むずか-しい;difficult;;;
次;3;3;6;ジ;つ-ぐ, つぎ;next;;;
形;3;2;7;ケイ, ギョウ;かたち;shape;;;
味;2;3;8;ミ;あじ, あじ-わう;taste;;;
試;2;4;13;シ;こころ-みる, ため-す;test, try;;;
験;2;4;18;ケン;-;proof, examine;;;
面;3;3;9;メン;おも;face, surface;;;
接;3;5;11;セツ, セッ-;つ-ぐ;connect;;;
説;2;4;14;セツ, セッ-;-;explain;;;
果;3;4;8;カ;-;fruit, result;;;
合;2;2;6;ゴウ, ガッ;あ-う, あ-わす;suit, combine;;;
格;3;5;10;カク;-;structure, rank, frame;;;
受;3;3;8;ジュ;う-かる, う-ける;receive;;;
落;3;3;12;ラク, ラッ-;お-ちる, お-とす;fall, drop;;;
残;3;4;10;ザン;のこ-る, のこ-す;remain;;;
念;3;4;8;ネン;-;sense, desire;;;
指;3;3;9;シ;ゆび, さ-す;finger, point out;;;
折;4;4;7;セツ;お-る;fold, break;;;
払;4;8;5;-;はら-う;pay;;;
投;3;3;7;トウ;な-げる;throw, cast;;;
打;3;3;5;ダ;う-つ;strike, hit;;;
深;3;3;11;シン;ふか-い, ふか-まる, ふか-める;deep;;;
洗;2;6;9;セン;あら-う;wash;;;
流;3;3;10;リュウ;なが-れる, なが-す;stream;;;
消;3;3;10;ショウ;き-える, け-す;diminish, erase;;;
決;3;3;7;ケツ/ケッ-;き-まる, き-める;determine;;;
旅;2;3;10;リョ;たび;travel;;;
約;3;4;9;ヤク;-;promise, approximate;;;
案;3;4;10;アン;-;idea, well-informed;;;
準;3;5;13;ジュン;-;level, semi-;;;
備;3;5;12;ビ;-;provide;;;
相;3;3;9;ソウ, ショウ;あい;face to face, minister;;;
談;3;3;15;ダン;-;talk;;;
連;3;4;10;レン;つ-れる;pair, link;;;
絡;4;8;12;ラク;-;tangle;;;
泊;4;8;8;ハク, -パク;と-まる, と-める;lodge, stay;;;
特;2;4;10;トク, トッ-;-;special;;;
急;2;3;9;キュウ;いそ-ぐ;quick, hurry;;;
線;3;2;15;セン;-;line;;;
発;2;3;9;ハツ, ハッ-, -パツ;-;issue, start;;;
到;4;8;8;トウ;-;reach, approach;;;
交;3;2;6;コウ;まじ-る, まじ-わる;cross, exchange;;;
機;3;4;16;キ;-;machinery, chance;;;
関;3;4;14;カン;-;barrier, relate, joint;;;
局;3;3;7;キョク;-;section, bureau;;;
信;3;4;9;シン;-;trust, believe, message;;;
路;3;3;13;ロ;-;road, route;;;
故;4;5;9;コ;-;old & dear, late, obstacle;;;
注;2;3;8;チュウ;-;pour, focus;;;
意;2;3;13;イ;-;intention, meaning;;;
押;4;8;8;-;お-す;press, push;;;
引;2;2;4;イン;ひ-く;pull, draw;;;
割;3;6;12;カツ;わ-れる, わ-る, わり;divide, cut;;;
営;3;5;12;エイ;-;carry on, operate;;;
自;2;2;6;ジ;-;self;;;
由;3;3;5;ユ, ユウ;-;course, line;;;
取;3;3;8;シュ;と-る;get, hold, acquire;;;
求;3;4;7;キュウ;もと-める;request, demand;;;
願;3;4;19;ガン;ねが-う;pray, beg;;;
知;2;2;8;チ;し-る;know, aware, intelligence;;;
台;2;2;5;ダイ, タイ;-;board, table, base;;;
窓;4;6;11;ソウ;まど;window;;;
具;3;3;8;グ;-;equipment, instrument;;;
器;3;4;15;キ;うつわ;container, tool, physical organ;;;
用;2;2;5;ヨウ;もち-いる;use, errand;;;
服;2;3;8;フク;-;clothes, dress, obey;;;
紙;2;2;10;シ;かみ;paper, journal;;;
辞;3;4;13;ジ;-;term, affix, resign;;;
雑;4;5;14;ザツ, ザッ-, (ゾウ);-;rough, miscellaneous;;;
誌;4;6;14;シ;-;record, magazine;;;
銀;2;3;14;ギン;-;silver;;;
資;3;5;13;シ;-;capital, fund;;;
品;2;3;9;ヒン;しな;article, goods (human quality);;;
個;3;5;10;コ;-;individual;;;
価;3;5;8;カ;-;price;;;
産;2;4;11;サン;う-まれる, う-む;produce, give birth;;;
期;3;3;12;キ;-;term, period, expect;;;
々;0;10;3;-;-;(symbol of repetition);;;
報;3;5;12;ホウ;-;report, reward;;;
告;3;4;7;コク;-;tell, announce;;;
心;2;2;4;シン;こころ;heart;;;
感;3;3;13;カン;-;feel, sense;;;
情;3;5;11;ジョウ;なさ-け;emotion, state of affairs;;;
悲;4;3;12;ヒ;かな-しい, かな-しむ;sorrow;;;
泣;3;4;8;-;な-く;weep, cry;;;
笑;3;4;10;ショウ;わら-う;laugh, smile;;;
頭;2;2;16;トウ, ズ;あたま;head, leader;;;
覚;3;4;12;カク;さ-める, おぼ-える, さ-ます;awake, sense;;;
忘;3;6;7;ボウ;わす-れる;forget;;;
考;2;2;6;コウ;かんが-える;think;;;
伝;3;4;6;デン;つた-わる, つた-える;transmit, legend;;;
代;2;3;5;ダイ, タイ;か-わる, か-える;substitution, period, fee;;;
呼;3;6;8;コ;よ-ぶ;call;;;
焼;3;4;12;ショウ;や-ける, や-く;burn;;;
曲;3;3;6;キョク;ま-がる, ま-げる;bend, curve, melody;;;
脱;4;8;11;ダツ, ダッ-;ぬ-げる, ぬ-ぐ;undress, drop out;;;
別;2;4;7;ベツ;わか-れる;separate, part with;;;
集;2;3;12;シュウ;あつ-まる, あつ-める;collect, assemble;;;
並;3;6;8;ヘイ;なら-ぶ, なみ, なら-べる;line up;;;
喜;3;4;12;キ;よろこ-ぶ;joy, pleasure;;;
驚;0;8;22;キョウ;おどろ-く;surprise, astonish;;;
細;3;2;11;サイ;ほそ-い, こま-かい;slender, minute;;;
